Cluster;Number of Tags;% of Tags;Number of Videos;% of Videos
1;64321;0.9789957535;1271495;0.8774122895
2;551;0.0083864781;60564;0.0417930058
3;318;0.004840109;5665;0.0039092097
4;26;0.0003957322;66;4.55441909764537E-005
5;19;0.0002891889;549;0.0003788449
6;18;0.0002739684;8;5.5205079971459E-006
7;11;0.0001674252;55;3.7953492480378E-005
8;9;0.0001369842;9;6.21057149678913E-006
9;9;0.0001369842;7;4.83044449750266E-006
10;8;0.0001217637;4;2.76025399857295E-006
11;8;0.0001217637;3;2.07019049892971E-006
12;8;0.0001217637;3;2.07019049892971E-006
13;7;0.0001065433;1;6.90063499643237E-007
14;7;0.0001065433;61;4.20938734782375E-005
15;7;0.0001065433;3;2.07019049892971E-006
16;7;0.0001065433;5;3.45031749821619E-006
17;7;0.0001065433;2;1.38012699928647E-006
18;6;9.132281091612E-005;4;2.76025399857295E-006
19;6;9.132281091612E-005;99;6.83162864646805E-005
20;6;9.132281091612E-005;1;6.90063499643237E-007
21;6;9.132281091612E-005;1;6.90063499643237E-007
22;6;9.132281091612E-005;3;2.07019049892971E-006
23;6;9.132281091612E-005;1;6.90063499643237E-007
24;4;6.088187394408E-005;2;1.38012699928647E-006
25;5;7.61023424301E-005;2;1.38012699928647E-006
26;5;7.61023424301E-005;2;1.38012699928647E-006
27;5;7.61023424301E-005;2;1.38012699928647E-006
28;5;7.61023424301E-005;2;1.38012699928647E-006
29;5;7.61023424301E-005;4;2.76025399857295E-006
30;5;7.61023424301E-005;1;6.90063499643237E-007
31;5;7.61023424301E-005;2;1.38012699928647E-006
32;5;7.61023424301E-005;2;1.38012699928647E-006
33;4;6.088187394408E-005;3;2.07019049892971E-006
34;5;7.61023424301E-005;2;1.38012699928647E-006
35;5;7.61023424301E-005;2;1.38012699928647E-006
36;5;7.61023424301E-005;4;2.76025399857295E-006
37;5;7.61023424301E-005;1;6.90063499643237E-007
38;4;6.088187394408E-005;143;9.86790804489829E-005
39;4;6.088187394408E-005;2;1.38012699928647E-006
40;4;6.088187394408E-005;1;6.90063499643237E-007
41;4;6.088187394408E-005;1;6.90063499643237E-007
