Tag;Number of Videos;other;n/1449142;Mean Length (seconds)
blowjob;419936;hetero;0.2897825058;511.756779605
hardcore;380676;hetero;0.2626906128;484.324383465
amateur;275272;hetero;0.1899551597;367.841938156
teen;265856;hetero;0.1834575218;429.597989137
blonde;204268;hetero;0.1409578909;471.206023459
brunette;195641;hetero;0.1350047131;476.15858639
anal;191087;hetero;0.131862164;616.665602579
cumshot;180824;hetero;0.1247800423;731.828225236
pussy;180686;hetero;0.1246848135;394.148998816
tits;139931;hetero;0.0965612756;459.390878361
facial;136240;hetero;0.0940142512;617.366852613
sex;131439;hetero;0.0907012563;490.969940429
ass;118821;hetero;0.0819940351;493.561533736
oral;108194;hetero;0.0746607303;453.111891602
boobs;107268;hetero;0.0740217315;446.597922959
babe;107116;hetero;0.0739168418;359.907418126
pussyfucking;104445;hetero;0.0720736822;710.410713773
fucking;103560;hetero;0.071462976;414.544959444
asian;102159;hetero;0.0704961971;600.172192367
gay;97053;gay;0.0669727328;344.669695939
sexy;91860;hetero;0.0633892331;443.365088178
bigtits;86023;hetero;0.0593613324;447.214768143
big;81838;hetero;0.0564734167;577.706175615
lesbian;80564;hetero;0.0555942758;491.356983268
milf;79931;hetero;0.0551574656;473.229135129
fuck;78331;hetero;0.054053364;579.824501155
interracial;77802;hetero;0.0536883204;524.507056374
dildo;73655;hetero;0.0508266271;380.438816102
pornstar;72950;hetero;0.0503401323;528.242302947
busty;72316;hetero;0.049902632;459.269995575
teens;69366;hetero;0.0478669447;366.234610616
masturbation;66523;hetero;0.0459050942;419.320250139
japanese;66342;hetero;0.0457801927;609.132977601
black;66009;hetero;0.0455504015;518.003423776
young;65935;hetero;0.0454993368;500.26043831
threesome;65644;hetero;0.0452985284;594.450475291
fingering;62229;hetero;0.0429419615;553.81974642
group;62166;hetero;0.0428984875;394.807000611
gaysex;61927;gay;0.0427335623;289.418621926
cock;59176;hetero;0.0408351977;401.035284575
reality;58953;hetero;0.0406813135;287.310620325
fetish;58460;hetero;0.0403411122;387.433715361
party;57649;hetero;0.0397814707;340.671217194
mature;56886;hetero;0.0392549522;483.289385789
cum;53291;hetero;0.036774174;567.662213132
orgy;53174;hetero;0.0366934365;377.3585775
hot;52961;hetero;0.036546453;532.482109477
porn;52230;hetero;0.0360420166;477.368964197
lesbians;51924;hetero;0.0358308572;454.898967722
public;50281;hetero;0.0346970828;330.541596229
gayporn;50121;gay;0.0345866727;287.401548253
gangbang;49434;hetero;0.034112599;435.505846179
ebony;48157;hetero;0.033231388;523.155678302
stockings;47825;hetero;0.0330022869;488.294553058
doggystyle;47575;hetero;0.032829771;435.67775092
gay-fucking;44251;gay;0.0305359999;283.253192018
college;43044;hetero;0.0297030933;316.303526624
pussylicking;42015;hetero;0.0289930179;703.241866
gay-anal;40803;gay;0.028156661;267.399308874
homemade;39831;hetero;0.0274859193;394.916095504
straight;39575;hetero;0.027309263;265.525584334
handjob;39538;hetero;0.0272837306;544.373488796
solo;38378;hetero;0.026483257;369.494006983
gay-hardcore;38087;gay;0.0262824485;266.903930475
outdoor;37757;hetero;0.0260547276;462.781073708
girls;37415;hetero;0.0258187258;344.502552452
cute;36692;hetero;0.0253198099;544.846969367
amateurs;36319;hetero;0.0250624162;339.846746882
toys;36151;hetero;0.0249464856;473.306021963
latina;35891;hetero;0.0247670691;633.713103564
redhead;35251;hetero;0.0243254284;385.611982639
shaved;34664;hetero;0.0239203612;641.971180475
creampie;34423;hetero;0.0237540558;598.8733986
babes;34169;hetero;0.0235787797;365.420468846
sucking;33472;hetero;0.0230978055;369.883604207
girlfriend;32494;hetero;0.0224229234;376.665815227
voyeur;32289;hetero;0.0222814603;317.136269318
webcam;32227;hetero;0.0222386764;407.974431377
gay-hunk;32092;gay;0.0221455178;267.192415555
toy;32032;hetero;0.022104114;331.356143856
POV;31692;hetero;0.0218694924;504.197147545
gay-stud;31558;gay;0.0217770239;267.252867736
groupsex;31181;hetero;0.02151687;459.448702736
gay-sucking;31164;gay;0.0215051389;266.701193685
gay-sex;30820;gay;0.0212677571;269.049286178
gay-oral;30609;gay;0.0211221537;267.001568166
japan;30484;hetero;0.0210358957;512.623769846
gay-porn;30205;gay;0.020843368;267.032544281
gay-boys;30190;gay;0.0208330171;268.427591918
gay-video;30062;gay;0.0207446889;267.283447542
gay-porno;30046;gay;0.0207336479;267.609998003
hairy;29739;hetero;0.0205217984;467.550556508
xxx;29597;hetero;0.0204238094;445.007095314
suck;29033;hetero;0.0200346136;467.902696931
dick;28887;hetero;0.0199338643;458.092256032
lingerie;28348;hetero;0.0195619201;529.356815296
bondage;27301;hetero;0.0188394236;370.665799788
